pkg_name,sha256,vercode,with_iot_lib
tw.com.syntronix.homepanel,7277A2DF63418E74A6CB6F6411437A1495FCBC61BE543253BE034A998E01CF20,413,1
com.bci.plutotrigger,00136A133F64DF0741BACF7B39DBE8030A9BD8D050737E817A1520C7514C64A9,25,0
com.thinkrace.oplay_watch,0013B97E76A0E1BD28574F01AF9899C7E4DCBB2C558DACB90B5CEC700D93718A,21060503,1
com.dt.cabman,0013E484B5F5FC4A14427414C428C4DCA98886A37EC4DA6B254687D58B2562BF,152120201,0
com.hexnode.hexnodemdm,DAE42E14D40FCF78D15BF06D77686FE04950CEA903AA8501D754B5656E4BFD91,237,0
com.slydroid.watch,4F93F4472E59EB2EBB0A7EF4FF71C66AA2C3D9ED5A76EB589087B751BF89E9E9,470,1
com.garmin.android.apps.phonelink,0DFC2CAB22FD0F39FB29C96AD945304176888F3BF1E815193B292A7A1258958F,20910009,1
com.dabapps.centurion,1318AD28E916BB35F266D17D3E92211ADA94CF32B3F111A57538F65C13996E92,1579168552,0
com.dicam.dicam2,630DF322CE615A28BA6E65A059E9DF3309BDD236AFA6A5EFC3D37580876DDBE6,1162,1
com.smartsensordevices.app.hibouscanner20,A712C58CB445659CA12B865A5AE20F8C71CD1A211E313F32B002B2667EE1386A,8,0
com.epson.documentscan,7E25CAC421853FA46986832D35507A124B29E3DB9C16D9CEBDBB30B2E5C89712,10500,0
com.sicep.unica,87AABE5A7D8F0EBC7A920AA58AC3C90B5166D1B412C8A90FEDFA2F6DFC32977A,30,1
com.saychiz.remotecamera,B031B26AF7B87587673FB0A4C2F2D56B77E152E2EBE912488CF74F300B54DE38,79,0
cz.skodaauto.connect,46F001B7B33036E3DF7B46CA83043029243EA902C2C90D146B9E1E1B725346A1,2002275709,0
io.yatis.yatisassist,8281668B96398A646C9E64557410EFDE0CBB8FD2B50C6C59E8D58F75E662F6FD,14,0
com.silicondust.view,1A053954519B9979A9E50CD063B3DF5A038AA9C283E868BE3734CBCB0C954A15,358,0
aky.akshay.coveralgorithm,F3CE35FD01F57B434E69E0C9A8729A45B47815E2CB716C20CE7381F8A4325B71,42,0
com.cs.dns,9A73A468BC4081074201F141EFBB363062BDCF4363B861992A2391A3573A2FDF,12020,0
cc.kittenbot.kblock,B7C8395A318331746C1E26EDCE6DC9267DE9355AA20FD41E36844A962947BCF2,281,1
casambi.ambi,2451650863C2E10D59F6FA16B42C32404246A9D550EAFB1E5B9D3BA0B41234F0,197378,0
com.deltacontrols.o3hub,7FC5E9BDFD6F0058A2B951CA1F6D9310A78C1D813370C168A910997B682648BD,317,0
com.manridy.iband,40234F562F7C91FC18782300D3DBE116E77094DCBCC1785BA6EB452E57621F7A,181,1
com.tools.app.veavon,C7D19CE753FBF910AA2F727A535B740DE5DBD2F4BCBC0DA893B3039BC16E6ACB,23020004,1
com.alexvas.dvr,7AB271F65B31BC3CB9D365DDDF995ACD11121177CE5AC062B7E7BB1666F18644,6241,1
com.pix4d.plugindji,A42941F06CF49A3E85D2A9768ABDC1723F5098C391A01731E87C736AF940E849,3053,0
wearableloudspeaker.com.wearableloudspeaker,E15AFA6A1965520FEE9338E6563EE17FB6CE37943E15EADB55CD5BB99A8D571E,281016004,0
co.jonga.sensor,FAFCD8E4A95D0E00229CFFD49933267DFA5F2196A098331DB8A076156FBB56AF,24,0
com.garmin.android.apps.autoplus,0019219B4A9D7F754C540720C34BF28A64ABEBF1ABDE8B86CB560BEF4F6F09BB,153,1
com.easyhomescale.es.system,32A8030619E292B93E8C8C8BC28035726C8E56F17DC1E6779ED97EFDB73E6EEB,28,1
com.manjul.bluetoothsdp,8D7C091F15B892D5C34A701A864F7D33998D88637D5B2CD42D784AB07E8E6034,55,0
com.ela.smbt5.d.android,F619283C0AF6D1317F79CD3F68C79A28C895C5DB57B797884ED9820FEE1230DC,13,0
com.bose.corporation.bosesleep,5CE79EE8C6BA0A8C60D61888CF2A7EDAB4EE3F2706D071DDC2F2D23BE69BD6BD,380,0
io.kodular.mahdisayd.Home_4CH,25F2E6B5E8EEDD341A6120A27232297047D9BFF6CF8AB57ADF96653AEE127B6C,480619,0
com.petronas.mtracker,7C1ED4C381F6A8FAF0522EF9D50C17779CEB8082CD97627BCC8A643F5071A613,27,0
air.com.carrier.myinfinity,9F252E683689CB9395762C9246D91231BF65B74D5E1F060026FB6C5774823B6C,2052001,0
com.lucetesoft.autocash,001B9756AA1F9D5A132D1B683216D878CACE31604BA7B493BF69B3C0B96AD45D,59,0
net.zhuoweizhang.mcpelauncher,ED56A08CFD8F430A4893E2FEA5CE2369A84A23DC7418355250D144CA8D93D89F,169,0
reflex.baking.scale,001BEB20AA061A44A2848CD02BF5D2CDFC34F4C7669989D6809B2F6065A9FD32,18,1
com.ecolab.envision.mde,001C83948A9817933F2A353293B7B74D94358D6DDCB4C391CD22FCEEAF848BA2,81,0
com.nextgentek.nodemcuandroid,879BF47A377A9042C593DFC7A2D899C9A0606EAF40E0427B44DD7078C6B98A06,58,0
com.appssolution.step.calories.pedometer,9840B197A9047A858779B29E18880C9B0644ED69D86F1AA7C5C615F37A3F8864,104,0
com.tsv.tsvalarmnew,BFE2B04220807920C5C1836CFEBAC809EC1626C2955C2AAF2AFC3FF664E5D089,167,1
air.com.comrex.liveshot,001CF29FAC3253E7288F8831653FE312CADC40812AA26954A3A85851D9DDF10D,1005000,0
com.ledgrouprobus.smart,8A9CD798591C9F8B748EC08E8A647E953B08F0817A3754115001D033652FC82A,6,1
air.io.eliq.eliq.android,73D1D1C1B20ED4C338A5196A94D93D10FDB273EE7570E88E87541FA0D9842C23,1009007,0
wang.wang.wifi,10AFB94542C9787AF921EDDEA8D68401BBEA0BD9F78EC3AA848C6CC4987AF17A,3712,0
jp.co.roland.boss_katana_air_editor,3CEB6F23C2F268BA995577D69E75FEFF242B51B554129DA82B97BE79B7C1423A,9,1
com.homeone.deft.android,C1C733E914F09DF9375DC64528F705317CD509FF6C29A32BCA2192D4F3F6ECD9,71,0
in.bets.smartplug.ui,798D3C96DA47584D1A54FC35D98478DA07AAB7D8B537F5927D9F04666D7FD739,31,0
zfapps.toyobd1,1230CBBF72CE9743CBE18CCCA8F002AA02659F13E6A256C65426FEEAE75AC3B1,191,0
it.itcares.wimonitor,DC0584D83579858AAAA849685277C8F220B07C8B0D02D806107D66FC0AE105B2,1005003,0
com.dogtra.gspathfinder,DCAD631AE8D0197D2CA9A4907EB950CF39F4A08B386FFD4EB85A9E5FFABE000D,49,0
com.giudicelli.digitalthermometerfree,3D3156372054B29EBD8650F4A0DF8B96692BBB4B76DC306F04562558B64D07CF,125,0
com.bitztek.praytime,001FC24A0BB3668B57EA220A19CD9BA2BECCF93EB8E966E2DFC0C4C4FA7E98EA,841,0
